name,osclevela,osclevelb,pinknoiselevel,whitenoiselevel,unisonmode,oscfx,detune,lfosyncfreq,lfotempovalue, KeytrackingAmount,glideSpeed,oscPitchA,oscPitchB,WaveformA,WaveformB,PwmSource,PwmAmtA,PwmAmtB,PwmRate,PwA,PwB,Resonance,Cutoff,FilterMixer,FilterEnvelope,PitchLfoAmount,PitchLfoRate,PitchLfoWaveform,PitchLfoRetrig,PitchLfoMidiClockSync,FilterLfoRate,FilterLfoRetrig,FilterLfoMidiClockSync,FilterLfoAmt,FilterLfoWaveform,FilterAttack,FilterDecay,FilterSustain,FilterRelease,AmpAttack,AmpDecay,AmpSustain,AmpRelease,EffectAmount,EffectMix,PitchEnvelope,velocitySens,chordDetune,MonophonicMode,0,0
Solina,1.00,0.42,0.00,0,0,0.99000,1.00,0.00,1.00,0.47,0.00000,12,-12,12,12,0,0.83,0.70,0.16,0.00,0.00,1.10,282.00,0.00,0.70,0.00000,7.24000,0,0,0,10.48000,0,0,0.00,1,4.00,1448.00,0.22,1864.00,41.00,808.00,0.92,991.00,5.60,0.83,0.00,0,0,0.00,0.00,0.00
Moog Bass,1.00,0.98,0.00,0,0,0.98,1.00,0.00,1.00,0.50,0.00,-24,-24,3,9,0,1.00,0.93,0.00,0.00,0.00,8.23,200.00,0.00,0.80,0.00,4.60,0,0,0,0.42,0,0,0.02,0,1.00,418.00,0.02,808.00,41.00,374.00,1.00,124.00,1.20,0.00,0.00,0,0,0.00,0.00,0.00
Overhead,1.00,1.00,0.00,0,0,1.00,1.00,0.00,1.00,0.53,0.00,-12,-24,8,8,0,1.00,0.94,0.05,0.00,0.00,1.10,2587.00,0.00,0.05,0.00,4.60,0,1,0,0.16,0,0,0.65,0,464.00,2207.00,0.22,314.00,374.00,374.00,1.00,3410.00,1.80,0.72,0.00,0.00,0.00,0.00,0.00,0.00
Phase Bass,1.00,1.00,0.00,1,0,0.99000,1.00,0.00,0.33,0.75,0.00000,-24,-24,12,12,0,1.00,0.96,0.07,1.00,0.92,3.80,319.00,0.00,0.83,0.00000,7.52000,7,0,0,10.48000,0,0,0.00,7,1.00,1676.00,0.95,4708.00,1.00,1448.00,1.00,178.00,5.00,0.56,0.00,4,0,0,0.00,0.00
Metal FM,1.00,1.00,0.00,0,1,1.00,1.00,0.00,1.00,0.75,0.00,0,-12,104,103,1,0.31,0.25,-10.00,0.00,0.00,9.04,4963.00,0.00,0.62,0.00,7.52,7,0,0,9.84,0,0,0.00,7,1.00,1676.00,0.42,808.00,1.00,1448.00,0.43,1994.00,5.40,0.77,0.00,0.00,0.00,0.00,0.00,0.00
Jet Stream,0.00,0.00,1.00,1,0,0.97,1.00,0.00,1.00,0.75,0.00,0,-12,19,7,0,0.31,0.26,0.00,0.00,0.00,1.10,3055.00,0.00,0.62,0.00,0.00,7,0,0,0.00,0,0,0.61,0,1.00,1676.00,0.97,808.00,1.00,915.00,1.00,3186.00,2.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00
Electro Glide,1.00,1.00,0.00,1,0,0.99,3.00,267.00,0.33,0.75,0.26,0,-24,12,8,0,0.94,0.84,0.99,0.00,0.00,3.03,12000.00,0.50,0.62,0.00,7.52,7,0,0,10.48,0,0,0.00,7,1.00,1676.00,0.95,808.00,1.00,5699.00,0.52,3410.00,5.00,0.73,0.00,0,0.00,0.00,0.00,0.00
CompuTalk,1.00,1.00,0.00,1,1,0.99,1.00,0.00,0.33,0.50,0.00,-12,-24,11,11,0,0.94,0.90,0.04,0.83,0.76,5.00,1584.00,-99.00,0.02,0.92,8.92,7,0,0,16.28,0,0,0.28,7,3186.00,5522.00,1.00,4.00,1.00,440.00,1.00,14.00,7.70,0.47,0,0.00,0.00,0.00,0.00,0.00
300 Baud,0.65,1.00,0.00,1,1,1.00,1.00,0.00,1.00,0.88,0.00,24,0,8,7,0,0.53,1.00,0.00,0.05,0.95,2.36,2328.00,0.67,-0.06,1.00,40.00,7,0,0,0.00,0,0,0.00,7,1.00,5522.00,1.00,4.00,1.00,440.00,1.00,67.00,7.70,0.47,0,0.00,0.00,0.00,0.00,0.00
Early Synth,1.00,1.00,0.00,0,0,0.99,1.00,0.00,1.00,0.88,0.00,0,-12,12,12,0,0.65,0.65,0.99,0.25,0.00,1.10,40.00,0.00,0.53,0.00,8.04,3,0,0,0.00,0,0,0.00,6,276.00,1502.00,0.85,991.00,1.00,1.00,1.00,621.00,2.70,0.73,0.00,0.00,0.00,0.00,0.00,0.00
Syn Kick,1.00,0.05,0.00,1,0,1.00,1.00,0.00,1.00,0.71,0.00,0,24,0,7,3,1.00,0.93,0.00,0.00,0.00,1.90,167.00,0.00,-0.00,0.00,17.48,0,0,0,0.00,0,0,0.00,0,99.00,4567.00,0.00,1.00,1.00,124.00,0.00,1.00,0.20,0.25,-0.83,0.00,0.00,0.00,0.00,0.00
End Titles,1.00,1.00,0.00,2,0,0.97,1.00,0.00,1.00,0.71,0.00,0,-12,12,12,1,0.98,0.98,-5.00,0.00,0.00,1.10,338.00,0.00,0.67,0.00,8.64,0,0,0,0.00,0,0,0.00,0,1.00,4567.00,0.00,621.00,89.00,1448.00,0.51,1614.00,9.60,0.65,1.00,0,95,0.00,0.00,0.00
Trumpet,1.00,1.00,0.00,0,0,0.99,1.00,0.00,1.00,0.53,0.00,-12,-12,8,8,1,1.00,1.00,-5.00,0.00,0.00,1.93,548.00,0.00,0.69,0.00,3.04,0,1,0,0.56,0,0,0.00,0,111.00,1614.00,1.00,224.00,41.00,1676.00,1.00,374.00,4.70,0.57,0.00,0.00,0.00,0.00,0.00,0.00
Snare HiHat,0.00,0.00,-0.83,1,1,1.00,1.00,0.00,1.00,0.71,0.00,-12,-24,3,7,0,1.00,0.93,0.56,0.00,0.00,1.10,2100.00,0.99,-0.51,0.00,17.48,0,0,0,0.00,0,0,0.00,0,1.00,1.00,0.00,1.00,4.00,99.00,0.00,14.00,0.20,0.25,-0.27,1,0,0.00,0.00,0.00
Pulstar,1.00,1.00,0.00,1,0,0.99,1.00,0.00,1.00,0.75,0.00,-12,-12,9,9,0,1.00,1.00,0.02,0.00,0.00,1.93,109.00,0.00,-0.04,0.00,9.52,7,0,0,8.04,0,0,0.50,6,1.00,1676.00,1.00,650.00,1.00,1.00,1.00,539.00,4.50,0.46,0.00,0,0.00,0.00,0.00,0.00
Ascent,1.00,1.00,0.00,1,0,1.00,1.00,0.00,1.00,0.55,0.00,-24,-24,8,12,0,1.00,1.00,0.56,0.00,0.00,11.72,319.00,-99.00,1.00,0.01,3.40,6,0,0,8.04,0,0,0.06,3,6077.00,2.00,1.00,1994.00,1.00,539.00,1.00,2136.00,18.50,0.69,1.00,0.00,0.00,0.00,0.00,0.00
Materialise,1.00,1.00,0.00,1,0,1.00,1.00,0.00,1.00,0.55,0.00,-24,-24,6,9,0,1.00,1.00,1.74,0.00,0.00,3.62,78.00,0.00,0.91,0.21,24.80,6,0,0,0.09,0,0,0.00,0,6077.00,2.00,1.00,1994.00,1.00,539.00,1.00,2136.00,6.80,0.65,0.00,0.00,0.00,0.00,0.00,0.00
Straight Bass,1.00,1.00,0.00,1,0,0.99,1.00,0.00,1.00,0.57,0.00,-24,-24,8,8,1,1.00,1.00,-5.00,0.00,0.00,1.10,12000.00,0.00,-0.04,0.00,24.80,6,0,0,0.01,0,0,0.00,0,1.00,2.00,1.00,1994.00,1.00,650.00,0.00,67.00,3.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00
Solid Bass,1.00,1.00,0.00,0,0,0.98,1.00,0.00,1.00,0.57,0.00,-24,-24,3,9,1,0.82,0.97,-5.00,0.00,0.00,1.10,20.00,0.00,1.00,0.00,24.80,6,0,0,0.01,0,0,0.18,0,1.00,164.00,0.00,111.00,1.00,418.00,0.00,224.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pulse Res,1.00,1.00,0.00,0,0,1.00,1.00,0.00,1.00,0.65,0.00,-24,-24,8,12,0,1.00,0.00,0.00,0.00,0.00,11.91,138.00,0.00,1.00,0.00,5.72,0,0,0,6.72,0,0,0.05,1,1.00,374.00,0.20,124.00,1.00,241.00,1.00,1031.00,14.80,0.24,0.00,0.00,0.00,0.00,0.00,0.00
Vapor Wave,1.00,0.88,0.00,2,0,1.00,1.00,0.00,1.00,0.50,0.02,-5,-24,8,8,0,0.70,0.84,1.61,0.37,0.67,1.64,157.00,0.95,-0.58,0.00,17.92,0,0,0,1.68,0,0,0.00,3,1.00,991.00,0.30,209.00,1.00,1.00,0.70,3292.00,2.00,0.84,0.12,0,0,0.00,0.00,0.00
Sweet Drops,0.50,0.48,0.00,0,0,0.99,1.00,0.00,1.00,0.65,0.04,24,24,11,11,0,1.00,0.52,0.00,0.00,0.00,1.10,1472.00,0.00,-0.00,0.00,5.04,0,1,0,9.84,0,0,0.00,1,1.00,1614.00,0.51,1.00,1.00,1.00,0.51,843.00,0.20,0.00,0.62,4.00,0.00,0.00,0.00,0.00
Bells,0.50,0.48,0.00,0,0,1.00,1.00,0.00,1.00,0.00,0.00,12,12,103,11,0,1.00,0.00,0.00,0.00,0.00,1.13,4099.00,0.00,-0.00,0.00,5.04,0,0,0,4.80,0,0,0.09,0,1.00,1614.00,0.24,1.00,1.00,565.00,0.30,1396.00,12.80,0.69,0.00,4,0,0.00,0.00,0.00
Machine Shop,1.00,1.00,0.00,1,1,0.99,1.00,0.00,1.00,0.54,0.00,-24,-12,8,8,0,1.00,1.00,0.33,0.00,0.00,4.31,774.00,0.89,-1.00,0.00,1.56,6,0,0,0.42,0,0,0.02,0,1.00,1297.00,0.00,539.00,2.00,565.00,0.54,395.00,1.20,0.35,0.00,0.00,0.00,0.00,0.00,0.00
Tremelo,0.50,0.48,0.00,0,0,1.00,1.00,0.00,1.00,0.00,0.00,12,12,8,8,0,0.43,0.94,2.23,0.00,0.00,1.10,806.00,0.00,-0.00,0.00,5.04,0,0,0,10.16,0,0,0.43,6,1.00,1864.00,0.32,395.00,1.00,565.00,0.63,1158.00,6.30,0.70,0.00,4,0,0.00,0.00,0.00
Organ,1.00,0.28,0.00,0,0,1.00,1.00,0.00,1.00,0.64,0.00,12,0,104,103,0,0.58,1.00,0.00,0.00,0.00,4.79,12000.00,0.00,0.73,0.00,6.20,0,0,0,0.00,0,0,0.00,0,1.00,440.00,0.67,353.00,67.00,539.00,1.00,1114.00,7.50,0.38,0.00,4.00,0.00,0.00,0.00,0.00
Deep Sound,1.00,1.00,0.00,1,0,0.96,1.00,0.00,0.33,0.75,0.00,-24,-24,12,12,0,1.00,0.97,0.12,0.00,0.00,1.10,787.00,0.00,0.62,0.00,7.52,7,0,0,10.48,0,0,0.00,7,1.00,1676.00,0.95,808.00,1.00,1448.00,1.00,9169.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00
80s,0.42,1.00,0.00,0,0,1.00,1.00,0.00,2.00,0.64,0.00,12,12,4,4,0,1.00,0.53,1.68,0.00,0.00,2.11,2047.00,0.00,0.05,0.00,4.60,0,0,0,2.00,0,0,0.00,1,1.00,1297.00,0.32,395.00,1.00,565.00,0.30,1158.00,5.00,0.73,0.00,4.00,0.00,0.00,0.00,0.00
Logos,0.94,1.00,0.00,1,1,0.99,1.00,0.00,1.00,1.00,0.00,-12,-24,104,103,0,0.31,0.25,1.49,0.00,0.00,1.14,36.00,0.34,1.00,0.00,7.52,7,0,0,14.32,0,0,0.00,3,1.00,1297.00,0.22,1448.00,1.00,1448.00,1.00,1396.00,2.40,0.53,0.00,4,0,0.00,0.00,0.00
Orchestra,1.00,1.00,0.00,0,0,0.99,1.00,0.00,1.00,0.45,0.00,0,-12,12,12,0,0.69,0.40,0.49,0.00,0.00,1.10,171.00,0.00,0.48,0.00,11.48,2,0,0,0.42,0,0,0.00,6,742.00,1794.00,0.87,680.00,164.00,1558.00,1.00,1202.00,5.70,0.65,0.00,0.00,0.00,0.00,0.00,0.00
Rendezvous,0.97,0.84,0.00,1,0,0.97,1.00,0.00,1.00,0.65,0.00,-12,0,12,12,0,0.65,0.71,1.31,0.00,0.00,1.32,145.00,0.68,0.92,0.00,10.48,0,0,0,4.36,0,0,0.05,0,1.00,374.00,0.29,440.00,395.00,878.00,0.98,2891.00,14.80,0.97,0.00,0.00,0.00,0.00,0.00,0.00
Impact,1.00,1.00,0.00,1,0,1.00000,1.00,0.00,1.00,0.47,0.00000,-2,0,11,11,0,0.97,0.83,0.42,0.00,0.63,15.00,20.00,0.00,0.87,0.00000,6.44000,0,0,0,3.40000,0,0,0.00,6,1.00,26.00,0.00,1.00,1.00,164.00,0.00,1.00,0.30,0.00,1.00,4,0,0,0.00,0.00
Rumble,1.00,1.00,1.00,1,0,0.96,1.00,0.00,1.00,0.53,0.00,-12,-24,19,7,0,1.00,0.93,0.00,0.00,0.00,15.00,20.00,0.00,0.07,0.00,40.00,7,1,0,40.00,0,0,0.00,7,1.00,353.00,0.22,314.00,41.00,374.00,1.00,4708.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Q Water,1.00,1.00,0.00,0,0,1.00,1.00,0.00,1.00,0.47,0.00,0,-24,19,7,0,0.94,1.00,0.80,0.00,0.00,15.00,741.00,1.00,0.01,0.00,7.24,0,0,0,32.24,0,0,0.65,7,4.00,2985.00,0.32,1864.00,1.00,808.00,1.00,1250.00,3.80,0.34,0.00,0.00,0.00,0.00,0.00,0.00
PPG Exit,1.00,1.00,0.00,0,0,1.00,1.00,0.00,1.00,0.47,0.00,12,0,19,104,0,0.83,0.70,0.16,0.00,0.00,1.14,876.00,0.00,0.65,0.00,7.24,0,0,0,10.48,0,0,0.00,1,4.00,2985.00,0.32,1864.00,58.00,808.00,0.92,565.00,6.50,1.00,0.00,4,14,0.00,0.00,0.00
Spinet,1.00,1.00,0.00,0,0,1.00,1.00,0.00,0.33,0.75,0.00,0,0,9,9,0,0.94,0.84,0.45,0.00,0.00,1.41,20.00,0.50,0.62,0.00,19.20,0,0,0,10.48,0,0,0.00,7,1.00,1676.00,0.95,808.00,1.00,418.00,0.20,258.00,7.50,0.25,0.00,4.00,0.00,0.00,0.00,0.00
Mars Pop,1.00,1.00,0.00,0,0,1.00,1.00,0.00,1.00,0.47,0.00,0,-24,19,7,0,0.94,1.00,0.80,0.00,0.00,15.00,1242.00,1.00,0.01,1.00,11.12,7,0,0,40.00,0,0,0.65,3,4.00,2985.00,0.32,1864.00,1.00,808.00,1.00,1250.00,3.80,0.27,0.00,0.00,0.00,0.00,0.00,0.00
Atmo,0.61,1.00,0.00,1,0,0.98,1.00,0.00,1.00,0.53,0.00,-12,-24,12,12,0,1.00,0.93,0.00,0.00,0.00,1.10,319.00,0.57,0.00,0.00,40.00,7,1,0,40.00,0,0,0.00,7,1.00,353.00,0.00,314.00,41.00,374.00,1.00,1158.00,6.80,0.35,0.00,0.00,0.00,0.00,0.00,0.00
